tiporesiduo;nome;bairro;localizacao;endereco;complemento;observacao;latitude;longitude;residuo_construcao_civil;residuo_solido_organico ;residuo_volumoso ;residuo_reciclavel 
Materiais Recicláveis;Cooperativa;São José;Avenida Sul;Avenida Sul;s/n;Cooperativa;-8.075631;-34.891624;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;São José;Avenida Sul;Avenida Sul;s/n;Cooperativa;-8.075631;-34.891624;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Dois Unidos;Av. Chagas Ferreira;Av. Chagas Ferreira;601;Cooperativa;-8.005045;-34.912247;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Torre;Rua Eliezer Olímpio de Moura;Rua Eliezer Olímpio de Moura;100;Cooperativa;-8.044426;-34.912990;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;São José;Travessa do Gusmão;Travessa do Gusmão;178;Cooperativa;-8.071821;-34.886728;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Guabiraba;Av. Padre Mosca de Carvalho;Av. Padre Mosca de Carvalho;s/n;Cooperativa;-7.964258;-34.924600;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Arruda;Avenida Professor José dos Anjos;Avenida Professor José dos Anjos;s/n;Cooperativa;-8.020267;-34.874597;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;São José;Rua Pacatuba;Rua Pacatuba;s/n;Cooperativa;-8.076567;-34.897539;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;São José;Rua Oscar de Melo;Rua Oscar de Melo;s/n;Cooperativa;-8.077965;-34.899157;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Imbiribeira;R. Antônio Cardoso da Fonte;R. Antônio Cardoso da Fonte;483;Cooperativa;-8.097676;-34.919589;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;Cooperativa;Ibura;Rua Rio Uma;Rua Rio Uma;150;Cooperativa;-8.114698;-34.931643;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Arruda;Arruda;Av. Prof. José dos Anjos;Av. Prof. José dos Anjos;;Ecoestação Arruda;-8.020158;-34.874417;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Campo Grande;Campo Grande;Av. Agamenon Magalhães com Rua Odorico Mendes;Av. Agamenon Magalhães com Rua Odorico Mendes;;Ecoestação Campo Grande;-8.039289;-34.878378;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Cohab;Cohab;Av. Rio Largo com Avenida Santos;Av. Rio Largo com Avenida Santos;;Ecoestação Cohab;-8.115278;-34.953455;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Ibura;Ibura;Rua Rio Tapado;Rua Rio Tapado;;Ecoestação Ibura;-8.116757;-34.943218;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Imbiribeira;Imbiribeira;Av. Mascarenhas de Morais;Av. Mascarenhas de Morais;;Ecoestação Imbiribeira;-8.123213;-34.914702;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Torre;Torre;Rua Ciclovia República da Argélia;Rua Ciclovia República da Argélia;;Ecoestação Torre;-8.044172;-34.916232;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Torrões;Torrões;Rua Maestro Jones Johnsson;Rua Maestro Jones Johnsson;;Ecoestação Torrões;-8.057741;-34.935627;SIM;NÃO;NÃO;SIM
Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos;Ecoestação Totó;Totó;Rua Onze de Agosto;Rua Onze de Agosto;;Ecoestação Totó;-8.077674;-34.971714;SIM;NÃO;NÃO;SIM
Materiais Recicláveis;PEV;;R. da Aurora, s/n ;R. da Aurora, s/n - Santo Amaro, Recife - PE, 50040-090, Brasil;;PEV;-8.054841;-34.876912;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;PEV;;Av. Rio Branco, 261;Av. Rio Branco, 261- Recife, PE, 50030-320;;PEV;-8.062349;-34.873686;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;PEV;;Av. Alfredo Lisboa, 11 ;Av. Alfredo Lisboa, 11 - Bairro do Recife, Recife - PE, 50030-150, Brasil;;PEV;-8.063356;-34.871452;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;PEV;;Praça da Independência ;Praça da Independência - Santo Antônio, Recife - PE, 50010-360;;PEV;-8.064063;-34.87838;NÃO;NÃO;NÃO;SIM
Materiais Recicláveis;PEV;;R. Princesa Isabel, 405 ;R. Princesa Isabel, 405 - Santo Amaro, Recife - PE, 50050-450, Brasil;;PEV;-8.058049;-34.882241;NÃO;NÃO;NÃO;SIM
